Algorithm,Case,Input Size,Original Last 5,Sorted Last 5
Selection,Average,10000,"[9166, 3604, 6204, 9942, 8840]","[9995, 9996, 9997, 9998, 9999]"
Selection,Best,10000,"[9995, 9996, 9997, 9998, 9999]","[9995, 9996, 9997, 9998, 9999]"
Selection,Worst,10000,"[5, 4, 3, 2, 1]","[9996, 9997, 9998, 9999, 10000]"
Bubble,Average,10000,"[7028, 5639, 8343, 7211, 8960]","[9995, 9996, 9997, 9998, 9999]"
Bubble,Best,10000,"[9995, 9996, 9997, 9998, 9999]","[9995, 9996, 9997, 9998, 9999]"
Bubble,Worst,10000,"[5, 4, 3, 2, 1]","[9996, 9997, 9998, 9999, 10000]"
Insertion,Average,10000,"[6480, 3643, 4175, 7836, 2491]","[9995, 9996, 9997, 9998, 9999]"
Insertion,Best,10000,"[9995, 9996, 9997, 9998, 9999]","[9995, 9996, 9997, 9998, 9999]"
Insertion,Worst,10000,"[4, 3, 2, 1, 0]","[9996, 9997, 9998, 9999, 10000]"
Selection,Average,50000,"[38777, 16883, 4606, 23048, 12644]","[49995, 49996, 49997, 49998, 49999]"
Selection,Best,50000,"[49995, 49996, 49997, 49998, 49999]","[49995, 49996, 49997, 49998, 49999]"
Selection,Worst,50000,"[5, 4, 3, 2, 1]","[49996, 49997, 49998, 49999, 50000]"
Bubble,Average,50000,"[48392, 18803, 46386, 40650, 43252]","[49995, 49996, 49997, 49998, 49999]"
Bubble,Best,50000,"[49995, 49996, 49997, 49998, 49999]","[49995, 49996, 49997, 49998, 49999]"
Bubble,Worst,50000,"[5, 4, 3, 2, 1]","[49996, 49997, 49998, 49999, 50000]"
Insertion,Average,50000,"[38912, 24265, 46663, 2879, 1750]","[49995, 49996, 49997, 49998, 49999]"
Insertion,Best,50000,"[49995, 49996, 49997, 49998, 49999]","[49995, 49996, 49997, 49998, 49999]"
Insertion,Worst,50000,"[4, 3, 2, 1, 0]","[49996, 49997, 49998, 49999, 50000]"
Selection,Average,100000,"[92471, 896, 10504, 16025, 91859]","[99995, 99996, 99997, 99998, 99999]"
Selection,Best,100000,"[99995, 99996, 99997, 99998, 99999]","[99995, 99996, 99997, 99998, 99999]"
Selection,Worst,100000,"[5, 4, 3, 2, 1]","[99996, 99997, 99998, 99999, 100000]"
Bubble,Average,100000,"[42728, 15698, 9499, 32271, 1960]","[99995, 99996, 99997, 99998, 99999]"
Bubble,Best,100000,"[99995, 99996, 99997, 99998, 99999]","[99995, 99996, 99997, 99998, 99999]"
Bubble,Worst,100000,"[5, 4, 3, 2, 1]","[99996, 99997, 99998, 99999, 100000]"
Insertion,Average,100000,"[61605, 91707, 1528, 15622, 64652]","[99995, 99996, 99997, 99998, 99999]"
Insertion,Best,100000,"[99995, 99996, 99997, 99998, 99999]","[99995, 99996, 99997, 99998, 99999]"
Insertion,Worst,100000,"[4, 3, 2, 1, 0]","[99996, 99997, 99998, 99999, 100000]"
