Algorithm,Input Size,Case,Chunk Size,Runtime
Internal Merge Sort,10000,Best,,0.015644073
External Merge Sort,10000,Best,1000,0.176156044
Internal Merge Sort,10000,Average,,0.019395113
External Merge Sort,10000,Average,1000,0.126946449
Internal Merge Sort,10000,Worst,,0.015207291
External Merge Sort,10000,Worst,1000,0.176354885
Internal Merge Sort,50000,Best,,0.087554693
External Merge Sort,50000,Best,1000,0.568370342
Internal Merge Sort,50000,Average,,0.107098579
External Merge Sort,50000,Average,1000,0.666588545
Internal Merge Sort,50000,Worst,,0.085025311
External Merge Sort,50000,Worst,1000,0.612629414
Internal Merge Sort,100000,Best,,0.180092573
External Merge Sort,100000,Best,1000,0.912437677
Internal Merge Sort,100000,Average,,0.22887063
External Merge Sort,100000,Average,1000,1.312030077
Internal Merge Sort,100000,Worst,,0.178780079
External Merge Sort,100000,Worst,1000,0.920577765
